Country,New_cases
Afghanistan,56192
Albania,121847
Algeria,116349
American Samoa,0
Andorra,11591
Angola,21774
Anguilla,22
Antigua and Barbuda,1072
Argentina,2252172
Armenia,186184
Aruba,8800
Australia,29211
Austria,516683
Azerbaijan,248307
Bahamas,8935
Bahrain,137550
Bangladesh,577241
Barbados,3559
Belarus,312474
Belgium,842775
Belize,12407
Benin,7100
Bermuda,830
Bhutan,869
Bolivia (Plurinational State of),265207
Bonaire,1092
Bosnia and Herzegovina,156346
Botswana,37559
Brazil,12047526
British Virgin Islands,154
Brunei Darussalam,206
Bulgaria,312741
Burkina Faso,12572
Burundi,2657
Cabo Verde,16555
Cambodia,1817
Cameroon,38988
Canada,938719
Cayman Islands,482
Central African Republic,5088
Chad,4440
Chile,942958
China,102589
Colombia,2342278
Comoros,3681
Congo,9681
Cook Islands,0
Costa Rica,211903
Croatia,260636
Cuba,68250
Curaçao,6041
Cyprus,42993
Czechia,1486510
Côte d’Ivoire,40868
Democratic People's Republic of Korea,0
Democratic Republic of the Congo,27579
Denmark,227031
Djibouti,6771
Dominica,160
Dominican Republic,250177
Ecuador,313570
Egypt,196709
El Salvador,63344
Equatorial Guinea,6780
Eritrea,3163
Estonia,99008
Eswatini,17296
Ethiopia,190594
Falkland Islands (Malvinas),51
Faroe Islands,661
Fiji,67
Finland,72713
France,4240732
French Guiana,16764
French Polynesia,18595
Gabon,18078
Gambia,5303
Georgia,278628
Germany,2690523
Ghana,89893
Gibraltar,4270
Greece,242347
Greenland,31
Grenada,154
Guadeloupe,11095
Guam,7576
Guatemala,189067
Guernsey,821
Guinea,18945
Guinea-Bissau,3586
Guyana,9668
Haiti,12732
Holy See,26
Honduras,183280
Hungary,593710
Iceland,6122
India,11734058
Indonesia,1471225
Iran (Islamic Republic of),1815712
Iraq,803041
Ireland,231484
Isle of Man,1503
Israel,828090
Italy,3419616
Jamaica,36231
Japan,459043
Jersey,3224
Jordan,553727
Kazakhstan,285241
Kenya,123167
Kiribati,0
Kosovo[1],83674
Kuwait,221743
Kyrgyzstan,87652
Lao People's Democratic Republic,49
Latvia,98094
Lebanon,441014
Lesotho,10685
Liberia,2047
Libya,153411
Liechtenstein,2715
Lithuania,211011
Luxembourg,59662
Madagascar,22682
Malawi,33323
Malaysia,335540
Maldives,22790
Mali,9474
Malta,28409
Marshall Islands,4
Martinique,7264
Mauritania,17658
Mauritius,812
Mayotte,19224
Mexico,2197160
Micronesia (Federated States of),0
Monaco,2199
Mongolia,5392
Montenegro,85763
Montserrat,20
Morocco,492403
Mozambique,66496
Myanmar,142292
Namibia,42771
Nauru,0
Nepal,276244
Netherlands,1213366
New Caledonia,116
New Zealand,2114
Nicaragua,5288
Niger,4939
Nigeria,162082
Niue,0
North Macedonia,120882
Northern Mariana Islands (Commonwealth of the),158
Norway,88039
Oman,152364
Other,745
Pakistan,633741
Palau,0
Panama,351213
Papua New Guinea,4109
Paraguay,196112
Peru,1472790
Philippines,677653
Pitcairn Islands,0
Poland,2120671
Portugal,818212
Puerto Rico,104743
Qatar,174762
Republic of Korea,99846
Republic of Moldova,217715
Romania,907007
Russian Federation,4483471
Rwanda,20975
Réunion,15561
Saba,6
Saint Barthélemy,776
Saint Kitts and Nevis,44
Saint Lucia,4132
Saint Martin,1633
Saint Pierre and Miquelon,24
Saint Vincent and the Grenadines,1700
Samoa,4
San Marino,4433
Sao Tome and Principe,2159
Saudi Arabia,385834
Senegal,37956
Serbia,561372
Seychelles,3828
Sierra Leone,3949
Singapore,60221
Sint Eustatius,20
Sint Maarten,2104
Slovakia,352528
Slovenia,207300
Solomon Islands,18
Somalia,10369
South Africa,1538961
South Sudan,9919
Spain,3234319
Sri Lanka,90765
Sudan,31282
Suriname,9067
Sweden,758335
Switzerland,583381
Syrian Arab Republic,17743
Tajikistan,13714
Thailand,28346
The United Kingdom,4307308
Timor-Leste,351
Togo,9077
Tokelau,0
Tonga,0
Trinidad and Tobago,7861
Tunisia,246507
Turkey,3061520
Turkmenistan,0
Turks and Caicos Islands,2294
Tuvalu,0
Uganda,40719
Ukraine,1579906
United Arab Emirates,444398
United Republic of Tanzania,509
United States Virgin Islands,2827
United States of America,29592831
Uruguay,84212
Uzbekistan,81678
Vanuatu,3
Venezuela (Bolivarian Republic of),151894
Viet Nam,2576
Wallis and Futuna,338
Yemen,3616
Zambia,86779
Zimbabwe,36717
"occupied Palestinian territory, including east Jerusalem",256265
